
as 16:16:32 ---- APP STARTED ---

sc 16:16:33 -- :Menu Utama --
.. 16:16:46      .
td 16:34:12      touched on :(966.0000000000001, 910.0)
td 16:34:12      touched on :(891.0, 886.0)
td 16:34:12      touched on :(629.0, 932.0)
td 16:34:12      touched on :(522.0, 885.0)
td 16:34:12      touched on :(382.0, 805.9999999999999)
td 16:34:12      touched on :(290.0, 640.0)
td 16:34:12      touched on :(348.0, 710.0)
td 16:34:12      touched on :(231.0, 758.0)
td 16:34:12      touched on :(385.0, 661.0)
td 16:34:13      touched on :(704.0, 667.0)
td 16:34:13      touched on :(776.0, 689.0)
td 16:34:13      touched on :(930.0, 761.0)
td 16:34:13      touched on :(992.0000000000001, 760.0)
td 16:34:13      touched on :(977.0000000000001, 856.0)
td 16:34:13      touched on :(951.0, 823.0)
td 16:34:13      touched on :(1204.0, 820.0)
td 16:34:13      touched on :(1149.0, 822.0)
td 16:34:13      touched on :(1411.0, 868.0)
td 16:34:13      touched on :(1390.0, 786.0000000000001)
td 16:34:13      touched on :(1503.0, 858.0000000000001)
td 16:34:13      touched on :(1484.0, 921.0)
td 16:34:13      touched on :(1360.0, 916.0)
td 16:34:13      touched on :(1233.0, 752.0)
td 16:34:13      touched on :(1140.0, 917.0)
td 16:34:13      touched on :(1128.0, 827.0)
td 16:34:13      touched on :(823.0, 714.0)
td 16:34:13      touched on :(598.0, 752.0)
td 16:34:13      touched on :(673.0, 736.9999999999999)
td 16:34:13      touched on :(462.0, 669.0)
td 16:34:13      touched on :(411.0, 650.0)
td 16:34:13      touched on :(399.0, 673.9999999999999)
td 16:34:13      touched on :(414.0, 543.0)
td 16:34:13      touched on :(484.0, 563.0000000000001)
td 16:34:13      touched on :(661.0, 544.0000000000001)
td 16:34:13      touched on :(657.0, 648.9999999999999)
td 16:34:13      touched on :(802.0, 685.0)
td 16:34:13      touched on :(952.0, 603.0)
td 16:34:13      touched on :(1039.0, 621.0)
td 16:34:13      touched on :(985.0000000000001, 710.0)
td 16:34:13      touched on :(1414.0, 591.0000000000001)
td 16:34:13      touched on :(1522.0, 639.0)
